"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"48458552","20171011001213","BANK INT INC&OD","Bank Interest Income & OD charges","M917PGN901",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","Credit","Credit","EUR",0.00,0.00,0.00,20171001,"",2250.8600000,0.00,0.00
"48458551","20171011001213","BANK INT INC&OD","Bank Interest Income & OD charges","M917PGN901",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","SettDebt","Settle Debt","EUR",3327.94,2250.86,2250.86,20171001,"",2250.8600000,3327.94,2250.86
"48458546","20171011001210","BANK INT INC&OD","Bank Interest Income & OD charges","MFS1000441",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","Credit","Credit","EUR",0.00,0.00,0.00,20171001,"",97.5100000,0.00,0.00
"48458545","20171011001210","BANK INT INC&OD","Bank Interest Income & OD charges","MFS1000441",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","SettDebt","Settle Debt","EUR",144.17,97.51,97.51,20171001,"",97.5100000,144.17,97.51
"48458537","20171011001206","BANK INT INC&OD","Bank Interest Income & OD charges","MIN1000024",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","SettDebt","Settle Debt","AUD",1178.55,1200.98,1200.98,20171001,"",1200.9800000,1178.55,1200.98
"48458538","20171011001206","BANK INT INC&OD","Bank Interest Income & OD charges","MIN1000024",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","Credit","Credit","AUD",0.00,0.00,0.00,20171001,"",1200.9800000,0.00,0.00
"48458535","20171011001205","BANK INT INC&OD","Bank Interest Income & OD charges","MFS1000376",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","SettDebt","Settle Debt","EUR",921.59,623.32,623.32,20171001,"",623.3200000,921.59,623.32
"48458536","20171011001205","BANK INT INC&OD","Bank Interest Income & OD charges","MFS1000376",20171011,20171001,20171001,"Jenny Ouyang","CreditCash","Credit","Credit","EUR",0.00,0.00,0.00,20171001,"",623.3200000,0.00,0.00
"74539","20171011001204","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"CGAP:FX CONTROL ACCOUNT - SETL",0.0000000,0.00,0.00
"74539","20171011001204","FS1000409","Corporate Expenses ? Funds (VCC)","MFS1000409",20171013,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","USD",25864.49,25864.49,20665.97,20171013,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
