Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75336","FS1000592","1","Pending approval by {0}","2","Cash Distribution",2017-11-02 00:00:00.000,2017-11-02 00:00:00.000,"MFS1000592","PAI Europe IV - B6 (Ardian)",566280.00000,"EUR","Yes",566280.00000,"EUR","Kheraj, Nadeem",2017-11-01 12:20:09.210,Investran,2017-11-08 11:04:05.480
"75338","77099A917","8","Pending review by {0}","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M77099A917","TPG Partners VI, L.P.",4483141.00000,"USD","Yes",4483141.00000,"USD","Chih, Joey",2017-11-01 13:07:58.173,Investran,2017-11-01 14:20:24.663
"75339","FS1000626","5","Cancelled","1","Capital Call",2017-10-26 00:00:00.000,2017-10-26 00:00:00.000,"MFS1000626","McDonald’s China Management (CITIC)",70521.16000,"USD","Yes",70521.16000,"USD","Hassan, Sohaib",2017-11-01 13:44:07.280,NULL,2017-11-06 11:43:21.093
"75340","PR1000096","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000096","Agricultural Company of America (PHI Transition)",289.71000,"USD","Yes",373.47000,"CAD","Gavadza, Olena",2017-11-01 13:44:56.607,Investran,2017-11-01 15:39:11.560
"75341","PR1000113","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000113","Corporate Expenses - Principal Investing (CPPIB)",34.41000,"CAD","Yes",34.41000,"CAD","Gavadza, Olena",2017-11-01 13:44:57.360,Investran,2017-11-01 15:39:44.600
"75342",".ATUS US","6","Manual","2","Cash Distribution",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000169","Altice USA",612.99000,"USD","Yes",790.21000,"CAD","Gavadza, Olena",2017-11-01 13:44:57.853,Investran,2017-11-01 15:48:24.000
"75345","PDI100033","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPDI100033","Antares Holdings LP",2022.70000,"USD","Yes",2607.46000,"CAD","Gavadza, Olena",2017-11-01 14:15:12.520,NULL,2017-11-01 15:34:53.370
"75346","PD1000368","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPDI200046","Project President Coinvestments- Expenses",2642.48000,"USD","Yes",3406.42000,"CAD","Gavadza, Olena",2017-11-01 14:24:55.710,NULL,2017-11-01 15:35:30.163
"75348","219999901","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999901","Corporate Expenses - Private Debt",6442.43000,"CAD","Yes",6442.43000,"CAD","Gavadza, Olena",2017-11-01 14:33:59.540,NULL,2017-11-01 15:36:10.903
"75354","PR1000121","6","Manual","1","Capital Call",2017-11-09 00:00:00.000,2017-11-09 00:00:00.000,"MPR1000121","Informatica Corporation",1942.43000,"USD","Yes",2504.08000,"CAD","Hassan, Sohaib",2017-11-01 15:46:41.597,Investran,2017-11-07 13:22:07.743
