CUSIP,SCD ID
GRB0CRNCY,GRB0CRNCY
GRH0CRNCY,GRH0CRNCY
IVE2CRNCY,IVE2CRNCY
L1G2CRNCY,L1G2CRNCY
L1H1CRNCY,L1H1CRNCY
LGR1CRNCY,LGR1CRNCY
LGR2CRNCY,LGR2CRNCY
LGR4CRNCY,LGR4CRNCY
LGR6CRNCY,LGR6CRNCY
LGR7CRNCY,LGR7CRNCY
LGR8CRNCY,LGR8CRNCY
LHD1CRNCY,LHD1CRNCY
LHD2CRNCY,LHD2CRNCY
NT1GCRNCY,NT1GCRNCY
NT1HCRNCY,NT1HCRNCY
NT1ICRNCY,NT1ICRNCY
NT2FCRNCY,NT2FCRNCY
NT2PCRNCY,NT2PCRNCY
PR1000053,PR1000053
,
